count_session,count_hit,channelGrouping,totals_newVisits,device_browser,device_operatingSystem,device_isMobile,device_deviceCategory,geoNetwork_region,geoNetwork_latitude,geoNetwork_longitude,historic_session,historic_session_page,avg_session_time,avg_session_time_page,single_page_rate,sessionQualityDim,earliest_visit_number,latest_visit_number,time_earliest_visit,time_latest_visit,avg_visit_time,days_since_first_visit,visits_per_day,bounce_rate,earliest_source,latest_source,earliest_medium,latest_medium,earliest_keyword,latest_keyword,earliest_isTrueDirect,latest_isTrueDirect,num_interactions,bounces,time_on_site,transactionRevenue,products_array,has_converted,product_list,"food_cupboard--tins,_jars_&_packets--powdered_milk","baby_products--milk,_food_&_juices--baby_&_toddler_formula--baby_formula_(1-6_years)","baby_products--milk,_food_&_juices--juices_&_beverages",nonfood,"baby_products--milk,_food_&amp;_juices--baby_&amp;_toddler_formula--baby_formula_(6-12_months)",Changing_&_Bathing,"baby_products--changing_&amp;_bathing--diapers,_wipes_&amp;_diaper_cream--baby_wipes_family_pack","baby_products--changing_&_bathing--diapers,_wipes_&_diaper_cream--baby_wipes_single_piece",Baby_Products,fresh_food--dairy_&_eggs--yoghurt--probiotic_yoghurt,Baby_Pants,Baby Products--Changing &amp; Bathing--Pull-ups &amp; Swimming Pants--Baby Pants,Baby_and_Personal_Care,baby_products--changing_&_bathing--pull-ups_&_swimming_pants--baby_pants,"Baby_Products--Changing_&amp;amp;_Bathing--Diapers,_Wipes_&amp;amp;_Diaper_Cream--Baby_Diapers","baby_products--milk,_food_&amp;_juices--baby_&amp;_toddler_formula--baby_formula_(1-6_years)","baby_products--milk,_food_&amp;_juices--baby_&amp;_toddler_formula--baby_formula_(0-6_months)","Baby_Products--Changing_&_Bathing--Diapers,_Wipes_&_Diaper_Cream--Baby_Diapers","baby_products--milk,_food_&_juices--baby_&_toddler_formula--baby_formula_(6-12_years)",سراويل_الأطفال,fresh_food--dairy_&_eggs--cheese_&_labneh--labneh,حفاضات_اطفال,"baby_products--milk,_food_&_juices--baby_&_toddler_formula--baby_formula_(6-12_months)",Baby_Diapers,baby_products--changing_&amp;_bathing--pull-ups_&amp;_swimming_pants--baby_pants,non_food,"baby_products--changing_&_bathing--diapers,_wipes_&_diaper_cream--natural_baby_diapers",food,Bulk_Savings,"food_cupboard--tins,_jars_&amp;_packets--powdered_milk","Diapers,_Wipes_&_Diaper_Cream","baby_products--milk,_food_&_juices--baby_&_toddler_formula--baby_formula_(0-6_months)",baby_products--changing_&_bathing--pull-ups_&_swimming_pants--baby_swimming,(not set),"Baby Products--Changing &amp; Bathing--Diapers, Wipes &amp; Diaper Cream--Baby Diapers",Pull-ups_&_Swimming_Pants,"baby_products--changing_&_bathing--diapers,_wipes_&_diaper_cream--baby_diapers","baby_products--changing_&amp;_bathing--diapers,_wipes_&amp;_diaper_cream--baby_diapers","baby_products--changing_&_bathing--diapers,_wipes_&_diaper_cream--baby_wipes_family_pack","baby_products--changing_&_bathing--diapers,_wipes_&_diaper_cream--natural_baby_wipes"
25,4071,2,0,5,6,True,1,25,25.2048,55.2708,4637,0,185.48,0.0,1.0,4,254,279,9.17,8.03,12,28,140.3793103448276,0.0,24,3,7,1,83,105,True,True,38039,0,3871,34018930,797,1,795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,5615,2,0,5,6,True,1,25,25.2048,55.2708,12990,0,481.11111111111114,0.0,1.0,2,7,80,8.85,10.05,11,29,187.16666666666663,0.0,24,4,7,1,89,96,True,True,13998,0,7416,0,3,0,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,2091,2,0,5,1,True,1,25,25.2048,55.2708,10250,839,732.1428571428571,59.92857142857143,0.9285714285714286,25,29,42,15.67,15.68,13,26,77.44444444444444,0.0,24,4,7,1,1,1,True,True,11201,0,11702,39613934,908,1,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
27,3791,2,0,5,1,True,1,25,25.2048,55.2708,13824,1625,512.0,60.18518518518518,0.9629629629629628,44,172,200,20.93,0.72,12,29,126.36666666666666,0.0,24,4,7,1,88,95,False,True,5814,0,6269,0,3136,0,3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,674,2,0,5,1,True,1,25,25.2048,55.2708,6204,3589,775.5,448.625,0.75,4,40,47,4.58,0.25,13,26,24.96296296296296,0.0,30,4,12,1,3,95,True,False,8577,0,6390,0,8,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,219,2,0,5,6,True,1,1,24.4539,54.3773,191,0,63.66666666666666,0.0,1.0,2,4,6,18.52,16.15,18,11,18.25,0.0,24,4,7,1,89,95,True,False,1928,0,1245,97043288,1161,1,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4,218,2,0,5,1,True,1,1,24.4539,54.3773,459,0,114.75,0.0,1.0,3,64,67,10.33,22.92,12,29,7.266666666666666,0.0,21,3,17,1,3,56,True,False,321,0,1456,0,2316,0,2910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,4026,2,0,5,6,True,1,25,25.2048,55.2708,6265,0,447.5,0.0,1.0,1,99,223,18.73,6.05,9,22,175.04347826086956,0.0,24,4,7,1,1,1,True,True,22391,0,96,42798292,1161,1,1247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4,91,2,0,2,6,True,1,1,24.4539,54.3773,1994,1969,498.5,492.25,0.25,45,8,21,15.38,10.03,11,8,45.55555555555556,0.0,24,4,7,1,88,95,True,True,512,0,3389,182673638,1758,1,1757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,1268,2,0,5,1,True,1,1,24.4539,54.3773,7294,5402,455.875,337.625,0.75,5,55,70,5.87,9.22,7,27,45.285714285714285,0.0,24,4,7,1,395,91,True,True,1740,0,28132,710664644,2579,0,2534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,4625,2,0,5,6,True,1,25,25.2048,55.2708,11086,0,652.1176470588235,0.0,1.0,8,15,77,8.6,16.78,12,27,165.17857142857142,0.0,24,4,7,1,83,91,True,True,17365,0,0,256753818,1986,1,1989,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1847,2,0,5,1,True,1,25,25.2048,55.2708,6707,0,248.40740740740745,0.0,1.0,6,53,79,17.3,13.95,15,28,63.689655172413794,0.0,24,4,7,1,90,95,True,True,6913,0,11796,0,1082,0,1103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,11386,1,0,5,6,True,1,25,25.2048,55.2708,11059,0,235.29787234042556,0.0,1.0,2,5,47,13.28,8.25,14,28,392.6206896551725,0.0,0,4,0,1,3,1,True,True,16191,0,2416,147276409,669,1,666,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4,176,2,0,5,1,True,1,25,25.2048,55.2708,183,0,45.75,0.0,1.0,4,26,29,13.72,17.62,13,28,6.068965517241379,0.0,24,4,7,1,25,26,True,True,408,0,138,0,2265,0,3057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
